"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","27","The class 'EhcacheAspect' has a Cyclomatic Complexity of 5 (Highest = 10).","Code Size Rules","CyclomaticComplexity"
"2","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","41","Document empty method","Design Rules","UncommentedEmptyMethod"
"3","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","45","Document empty method","Design Rules","UncommentedEmptyMethod"
"4","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","49","Parameter 'joinPoint' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"5","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","49","The method 'aroundLogCalls' has a Cyclomatic Complexity of 10.","Code Size Rules","CyclomaticComplexity"
"6","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","5","51","Found 'DU'-anomaly for variable 'targetName' (lines '51'-'101').","Controversial Rules","DataflowAnomalyAnalysis"
"7","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","51","Local variable 'targetName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"8","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","5","52","Found 'DU'-anomaly for variable 'methodName' (lines '52'-'101').","Controversial Rules","DataflowAnomalyAnalysis"
"9","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","52","Local variable 'methodName' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"10","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","5","53","Found 'DU'-anomaly for variable 'arguments' (lines '53'-'101').","Controversial Rules","DataflowAnomalyAnalysis"
"11","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","53","Local variable 'arguments' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"12","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","56","Local variable 'methods' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"13","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","5","57","Found 'DD'-anomaly for variable 'flag' (lines '57'-'62').","Controversial Rules","DataflowAnomalyAnalysis"
"14","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","61","These nested if statements could be combined","Basic Rules","CollapsibleIfStatements"
"15","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","68","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"16","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","72","Local variable 'cacheKey' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"17","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","5","74","Found 'DD'-anomaly for variable 'element' (lines '74'-'77').","Controversial Rules","DataflowAnomalyAnalysis"
"18","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","5","74","Found 'DD'-anomaly for variable 'element' (lines '74'-'80').","Controversial Rules","DataflowAnomalyAnalysis"
"19","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","85","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"20","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","107","Parameter 'methodName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"21","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","107","Parameter 'targetName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","108","Parameter 'arguments' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"23","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","109","Avoid variables with short names like sb","Naming Rules","ShortVariable"
"24","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","110","Avoid appending characters as strings in StringBuffer.append.","String and StringBuffer Rules","AppendCharacterWithChar"
"25","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/EhcacheAspect.java","3","113","Avoid appending characters as strings in StringBuffer.append.","String and StringBuffer Rules","AppendCharacterWithChar"
"26","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","27","Document empty method","Design Rules","UncommentedEmptyMethod"
"27","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","34","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"28","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","35","Found 'DD'-anomaly for variable 'flag' (lines '35'-'38').","Controversial Rules","DataflowAnomalyAnalysis"
"29","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","36","Local variable 'encoding' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"30","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","43","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"31","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","43","Parameter 'response' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"32","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","44","Parameter 'chain' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"33","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","45","Found 'DU'-anomaly for variable 'resp' (lines '45'-'62').","Controversial Rules","DataflowAnomalyAnalysis"
"34","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","45","Local variable 'resp' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"35","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","46","Local variable 'req' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"36","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","48","Local variable 'wrapper' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"37","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","50","Local variable 'gzipData' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"38","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","64","Document empty method","Design Rules","UncommentedEmptyMethod"
"39","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","64","Parameter 'filterConfig' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"40","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","1","69","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"41","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","75","Found 'DD'-anomaly for variable 'uri' (lines '75'-'77').","Controversial Rules","DataflowAnomalyAnalysis"
"42","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","77","String.indexOf(char) is faster than String.indexOf(String).","String and StringBuffer Rules","UseIndexOfChar"
"43","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","80","Found 'DD'-anomaly for variable 'date' (lines '80'-'105').","Controversial Rules","DataflowAnomalyAnalysis"
"44","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","80","Found 'DD'-anomaly for variable 'date' (lines '80'-'87').","Controversial Rules","DataflowAnomalyAnalysis"
"45","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","80","Found 'DD'-anomaly for variable 'date' (lines '80'-'93').","Controversial Rules","DataflowAnomalyAnalysis"
"46","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","80","Found 'DD'-anomaly for variable 'date' (lines '80'-'99').","Controversial Rules","DataflowAnomalyAnalysis"
"47","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","87","Found 'DD'-anomaly for variable 'date' (lines '87'-'105').","Controversial Rules","DataflowAnomalyAnalysis"
"48","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","87","Found 'DD'-anomaly for variable 'date' (lines '87'-'93').","Controversial Rules","DataflowAnomalyAnalysis"
"49","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","87","Found 'DD'-anomaly for variable 'date' (lines '87'-'99').","Controversial Rules","DataflowAnomalyAnalysis"
"50","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","93","Found 'DD'-anomaly for variable 'date' (lines '93'-'105').","Controversial Rules","DataflowAnomalyAnalysis"
"51","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","93","Found 'DD'-anomaly for variable 'date' (lines '93'-'99').","Controversial Rules","DataflowAnomalyAnalysis"
"52","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","99","Found 'DD'-anomaly for variable 'date' (lines '99'-'105').","Controversial Rules","DataflowAnomalyAnalysis"
"53","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","5","113","Found 'DD'-anomaly for variable 'output' (lines '113'-'115').","Controversial Rules","DataflowAnomalyAnalysis"
"54","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","117","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"55","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/GZipFilter.java","3","121","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"56","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","22","The class 'HiberAspect' has a Cyclomatic Complexity of 17 (Highest = 22).","Code Size Rules","CyclomaticComplexity"
"57","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","1","23","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"58","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","28","Avoid variables with short names like id","Naming Rules","ShortVariable"
"59","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","28","Parameter 'entity' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"60","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","28","Parameter 'id' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"61","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","28","The method 'onSave' has a Cyclomatic Complexity of 22.","Code Size Rules","CyclomaticComplexity"
"62","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","29","Parameter 'propertyNames' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"63","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","29","Parameter 'types' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"64","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","5","30","Found 'DD'-anomaly for variable 'currentUser' (lines '30'-'32').","Controversial Rules","DataflowAnomalyAnalysis"
"65","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","37","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"66","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","49","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"67","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","120","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"68","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","126","Avoid variables with short names like id","Naming Rules","ShortVariable"
"69","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","126","Parameter 'entity' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"70","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","126","The method 'onFlushDirty' has a Cyclomatic Complexity of 11.","Code Size Rules","CyclomaticComplexity"
"71","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","5","129","Found 'DD'-anomaly for variable 'currentUser' (lines '129'-'131').","Controversial Rules","DataflowAnomalyAnalysis"
"72","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","136","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"73","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/HiberAspect.java","3","146","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"74","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"75","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"76","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"77","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"78","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","17","Private field 'buffer' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"79","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","19","Parameter 'resp' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"80","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","26","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"81","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","28","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"82","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","28","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"83","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","39","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"84","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","41","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"85","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","41","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"86","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","50","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"87","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","52","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"88","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","68","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"89","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","68","Private field 'buffer' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"90","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","70","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"91","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","70","Parameter 'buffer' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"92","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","74","Avoid variables with short names like b","Naming Rules","ShortVariable"
"93","org.jeecgframework.core.aop","src/org/jeecgframework/core/aop/Wrapper.java","3","74","Parameter 'b' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"94","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","22","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"95","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","27","Parameter 'validator' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"96","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","28","Parameter 'groups' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"97","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","28","Parameter 'object' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"98","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","30","Avoid excessively long variable names like constraintViolations","Naming Rules","LongVariable"
"99","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","30","Local variable 'constraintViolations' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"100","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","40","Avoid variables with short names like e","Naming Rules","ShortVariable"
"101","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","40","Parameter 'e' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"102","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","48","Avoid excessively long variable names like constraintViolations","Naming Rules","LongVariable"
"103","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","48","Parameter 'constraintViolations' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"104","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","49","Local variable 'errorMessages' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"105","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","62","Avoid variables with short names like e","Naming Rules","ShortVariable"
"106","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","70","Avoid excessively long variable names like constraintViolations","Naming Rules","LongVariable"
"107","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","71","Local variable 'errorMessages' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"108","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","84","Avoid variables with short names like e","Naming Rules","ShortVariable"
"109","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","92","Avoid excessively long variable names like constraintViolations","Naming Rules","LongVariable"
"110","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","101","Avoid variables with short names like e","Naming Rules","ShortVariable"
"111","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","110","Avoid excessively long variable names like constraintViolations","Naming Rules","LongVariable"
"112","org.jeecgframework.core.beanvalidator","src/org/jeecgframework/core/beanvalidator/BeanValidators.java","3","112","Local variable 'errorMessages' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"113","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","4","14","Avoid unused imports such as 'org.springframework.stereotype.Controller'","Type Resolution Rules","UnusedImports"
"114","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","4","14","Avoid unused imports such as 'org.springframework.stereotype.Controller'","Type Resolution Rules","UnusedImports"
"115","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","4","17","Avoid unused imports such as 'org.springframework.web.bind.annotation.RequestMapping'","Type Resolution Rules","UnusedImports"
"116","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","4","17","Avoid unused imports such as 'org.springframework.web.bind.annotation.RequestMapping'","Type Resolution Rules","UnusedImports"
"117","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","39","Parameter 'binder' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"118","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","53","Parameter 'request' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"119","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","53","The method pageBaseMethod() has an NPath complexity of 625","Code Size Rules","NPathComplexity"
"120","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","2","54","Avoid reassigning parameters such as 'pageRow'","Design Rules","AvoidReassigningParameters"
"121","org.jeecgframework.core.common.controller","src/org/jeecgframework/core/common/controller/BaseController.java","3","54","Avoid variables with short names like dc","Naming Rules","ShortVariable"
